"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:7sYXudDYZ0RPA3V8UPTNek","1","spotify:artist:3QpNnKSjUIIMwFei8h3eOj, spotify:artist:2Ub06wAIR1hERODcCkKhzx, spotify:artist:1Vi0Dq6hC56i3a6eVA9Y6g, spotify:artist:3DYTYYROw8SmsIAplPyysz","Petal Supply, umru, Himera, trndytrndy","spotify:album:6tu1J2ybOskhmlZ2xNEp2V","1","spotify:artist:3QpNnKSjUIIMwFei8h3eOj","Petal Supply","2021-03-26","https://i.scdn.co/image/ab67616d0000b27305f23af25896dab69edc0b88","1","1","705500","https://p.scdn.co/mp3-preview/94a8d5c4cac4e9f1e4290bac3d46fffd8259cd5d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","","2022-03-14T19:58:34Z","hyperpop,escape room,hyperpop,proto-hyperpop,deconstructed club,escape room,glitchcore,hyperpop","0.387","0.577","8","-4.716","1","0.0432","0.28","0.0946","0.284","0.441","120.017","4"
"spotify:track:2CYjj1aOZ7UBSxs6KjPckb","Last Minute","spotify:artist:6YMeCrTjUKwsXh9yhQJjEV","Kitty","spotify:album:2OUQyzHhXSkL0HirTEQMdm","Frostbite","spotify:artist:6YMeCrTjUKwsXh9yhQJjEV","Kitty","2014-11-18","https://i.scdn.co/image/ab67616d0000b2737e634d0fb7f8e55aa5c68e1c","1","1","255323","","true","24","","2022-03-14T15:56:43Z","escape room,hyperpop","0.637","0.779","5","-6.065","1","0.0358","0.183","0.541","0.739","0.317","125.981","4"
"spotify:track:77VKOwdGGp2ObwIIUVlosT","Moon","spotify:artist:1KvNXSn0FKGELFRpfm3ONi","Gabriela Robin","spotify:album:0eQvZKz4BZSlqcifV0iFyL","Turn a Gundam Original Motion Picture Soundtrack Ⅰ","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1999-07-23","https://i.scdn.co/image/ab67616d0000b27396101fd9d970bef52e8cb3b7","1","9","315333","https://p.scdn.co/mp3-preview/533c1badf9e3b73c5fe2caf57b70c727163ad387?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","","2022-03-14T05:52:51Z","anime score","0.166","0.445","1","-12.904","0","0.0507","0.326","0.0404","0.0881","0.0881","68.187","4"
"spotify:track:34kPOXRbkcWUlFNNzcWDyT","Kisses","spotify:artist:5x6H8meBBWk6J8qcIWxW7w","Mango","spotify:album:6lGNnCm0H47o59L99rIk9F","Kisses EP","spotify:artist:5x6H8meBBWk6J8qcIWxW7w","Mango","2018-07-27","https://i.scdn.co/image/ab67616d0000b2736db9d37aae16c740fa209305","1","1","440058","https://p.scdn.co/mp3-preview/12fad10c4957350114717978c4e8b19556d3737e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","","2022-03-14T03:09:05Z","progressive trance house","0.604","0.871","0","-9.777","1","0.0369","0.038","0.885","0.0972","0.689","125.028","4"
"spotify:track:2QgalMxXAPc4bLqcNC7h3P","SHADOW","spotify:artist:30qGwXnygZNCzxjN7QsIR0","BABii","spotify:album:4LOTHiQAhGiEMXMBHYev3N","MiiRROR","spotify:artist:30qGwXnygZNCzxjN7QsIR0","BABii","2021-05-21","https://i.scdn.co/image/ab67616d0000b27334b700ebf8a005393fcc021f","1","6","155076","https://p.scdn.co/mp3-preview/f3bf62ee50068938ac166d685bac398e95c49947?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","","2022-03-14T03:05:55Z","escape room,hyperpop","0.713","0.538","0","-10.587","1","0.0316","0.0247","0.000185","0.12","0.16","130.002","4"
"spotify:track:5tJAGoIXg3ZKX7W6unLGMv","Broken Friendship Bracelet","spotify:artist:1Vi0Dq6hC56i3a6eVA9Y6g","Himera","spotify:album:4xkGcyQLAcoIluFdUCQd7M","More Than Friends","spotify:artist:1Vi0Dq6hC56i3a6eVA9Y6g","Himera","2020-09-04","https://i.scdn.co/image/ab67616d0000b2733da02cc743777b8f6b2f0a0d","1","1","140000","https://p.scdn.co/mp3-preview/c77f245824071129daff1b58c93c3960f16d2d32?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","","2022-03-14T03:05:37Z","deconstructed club,escape room,glitchcore,hyperpop","0.592","0.4","2","-14.981","1","0.0553","0.401","0.741","0.327","0.756","120.015","4"
"spotify:track:1TSoAXxFkZ1MszFRqTKxzC","Cut to the Feeling","spotify:artist:68fiKpJLoB94P1fLMZTZbC","Yawning Portal","spotify:album:10Y8JVNIisYJVdamHWMpF2","Heart & Earth","spotify:artist:68fiKpJLoB94P1fLMZTZbC","Yawning Portal","2020-11-06","https://i.scdn.co/image/ab67616d0000b2736c030d773d6869f043a7577a","1","5","244546","","false","0","","2022-03-14T03:05:27Z","deconstructed club,escape room,new isolationism","0.171","0.6","10","-5.933","1","0.0412","0.141","0.728","0.304","0.144","116.85","4"
"spotify:track:582gpRUX6LEVXbuCdgIDaq","サイバーバード","spotify:artist:1KvNXSn0FKGELFRpfm3ONi","Gabriela Robin","spotify:album:6vnGlRzjCpJdnojTZZojMc","攻殻機動隊 STAND ALONE COMPLEX O.S.T.2","spotify:artist:0lbYsAt8JNKNjttbncKg8i","Yoko Kanno","2011-03-30","https://i.scdn.co/image/ab67616d0000b273cffd3d7b2d383e9391eb2f18","1","1","358825","https://p.scdn.co/mp3-preview/4343493caf3253afbaecdc137d738ede982dbe14?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","","2022-03-14T01:39:42Z","anime score","0.341","0.909","7","-5.776","1","0.101","0.0335","0.142","0.212","0.325","153.888","4"
"spotify:track:6Gk4qs4VrUjxDMCmuQbEgQ","crazy4u!","spotify:artist:59e7YxjDTqYuyxi0kTt4fL","Dazegxd","spotify:album:6bnON6CC4EYZfrHA48ZUEw","crazy4u!","spotify:artist:59e7YxjDTqYuyxi0kTt4fL","Dazegxd","2022-02-16","https://i.scdn.co/image/ab67616d0000b273f8d1628a8d0e4b80b3a441cd","1","1","199111","https://p.scdn.co/mp3-preview/725bf4714c1bff137acafa905c8d0cafd84128f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","","2022-03-12T22:31:41Z","glitchbreak,glitchcore","0.59","0.659","9","-9.218","1","0.233","0.0502","0","0.311","0.0898","134.93","4"
"spotify:track:3uexwXJFkOVHkmulr3IiLc","departure","spotify:artist:3xEXDFJiPyIS1oC1xYX06F, spotify:artist:0sGvH1VL3n3Dn6rvDu2KhX","UNIT KAI, acounta","spotify:album:2gosUSZpSN0zTv9WYF8HCj","departure","spotify:artist:3xEXDFJiPyIS1oC1xYX06F, spotify:artist:0sGvH1VL3n3Dn6rvDu2KhX","UNIT KAI, acounta","2020-11-30","https://i.scdn.co/image/ab67616d0000b2732e2ee58671adfcad4ac9b1b3","1","1","151058","https://p.scdn.co/mp3-preview/08df092bd86e7d2e2fb1e3263cd3c2bc99d2c4d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","","2022-03-12T22:27:54Z","glitchbreak","0.615","0.828","6","-5.781","1","0.0307","0.0628","0.93","0.128","0.569","128.712","4"
